CBSA Code,CBSA Name,Metro/Micro,County,State,FIPS State Code,FIPS County Code,Central/Outlying
10100,"Aberdeen, SD",Micro,Brown County,SD,46,013,Central
10100,"Aberdeen, SD",Micro,Edmunds County,SD,46,045,Outlying
10140,"Aberdeen, WA",Micro,Grays Harbor County,WA,53,027,Central
10180,"Abilene, TX",Metro,Callahan County,TX,48,059,Outlying
10180,"Abilene, TX",Metro,Jones County,TX,48,253,Outlying
10180,"Abilene, TX",Metro,Taylor County,TX,48,441,Central
10220,"Ada, OK",Micro,Pontotoc County,OK,40,123,Central
10300,"Adrian, MI",Micro,Lenawee County,MI,26,091,Central
10380,"Aguadilla-Isabela, PR",Metro,Aguada Municipio,,72,003,Central
10380,"Aguadilla-Isabela, PR",Metro,Aguadilla Municipio,,72,005,Central
10380,"Aguadilla-Isabela, PR",Metro,Añasco Municipio,,72,011,Central
10380,"Aguadilla-Isabela, PR",Metro,Isabela Municipio,,72,071,Central
10380,"Aguadilla-Isabela, PR",Metro,Lares Municipio,,72,081,Central
10380,"Aguadilla-Isabela, PR",Metro,Moca Municipio,,72,099,Central
10380,"Aguadilla-Isabela, PR",Metro,Rincón Municipio,,72,117,Central
10380,"Aguadilla-Isabela, PR",Metro,San Sebastián Municipio,,72,131,Central
10380,"Aguadilla-Isabela, PR",Metro,Utuado Municipio,,72,141,Central
10420,"Akron, OH",Metro,Portage County,OH,39,133,Central
10420,"Akron, OH",Metro,Summit County,OH,39,153,Central
10460,"Alamogordo, NM",Micro,Otero County,NM,35,035,Central
10500,"Albany, GA",Metro,Dougherty County,GA,13,095,Central
10500,"Albany, GA",Metro,Lee County,GA,13,177,Central
10500,"Albany, GA",Metro,Terrell County,GA,13,273,Outlying
10500,"Albany, GA",Metro,Worth County,GA,13,321,Outlying
10540,"Albany-Lebanon, OR",Metro,Linn County,OR,41,043,Central
10580,"Albany-Schenectady-Troy, NY",Metro,Albany County,NY,36,001,Central
10580,"Albany-Schenectady-Troy, NY",Metro,Rensselaer County,NY,36,083,Central
10580,"Albany-Schenectady-Troy, NY",Metro,Saratoga County,NY,36,091,Central
10580,"Albany-Schenectady-Troy, NY",Metro,Schenectady County,NY,36,093,Central
10580,"Albany-Schenectady-Troy, NY",Metro,Schoharie County,NY,36,095,Outlying
10620,"Albemarle, NC",Micro,Stanly County,NC,37,167,Central
10660,"Albert Lea, MN",Micro,Freeborn County,MN,27,047,Central
10700,"Albertville, AL",Micro,Marshall County,AL,01,095,Central
10740,"Albuquerque, NM",Metro,Bernalillo County,NM,35,001,Central
10740,"Albuquerque, NM",Metro,Sandoval County,NM,35,043,Central
10740,"Albuquerque, NM",Metro,Torrance County,NM,35,057,Outlying
10740,"Albuquerque, NM",Metro,Valencia County,NM,35,061,Outlying
10760,"Alexander City, AL",Micro,Coosa County,AL,01,037,Outlying
10760,"Alexander City, AL",Micro,Tallapoosa County,AL,01,123,Central
10780,"Alexandria, LA",Metro,Grant Parish,LA,22,043,Outlying
10780,"Alexandria, LA",Metro,Rapides Parish,LA,22,079,Central
10820,"Alexandria, MN",Micro,Douglas County,MN,27,041,Central
10860,"Alice, TX",Micro,Duval County,TX,48,131,Outlying
