LOCID Origin,LOCID Destination
ANC,GCC
ANC,GRK
ANC,ELM
ANC,CPR
ANC,EGE
ANC,PSC
ANC,TYS
ANC,DSM
ANC,INL
ANC,GJT
ANC,PHF
ANC,FLL
ANC,IPT
ANC,TUL
ANC,AEX
ANC,EYW
ANC,HDN
ANC,SFO
ANC,MSY
ANC,ALW
ANC,PIH
ANC,BWI
ANC,GSP
ANC,GRB
ANC,CHA
ANC,SWF
ANC,BTR
ANC,CWA
ANC,SAN
ANC,ORF
ANC,MTJ
ANC,PIT
ANC,SEA
ANC,YKM
ANC,MCO
ANC,PDX
ANC,GEG
ANC,MEM
ANC,ABQ
ANC,OMA
ANC,SUN
ANC,RST
ANC,SRQ
ANC,JNU
ANC,ILM
ANC,ITO
ANC,BHM
ANC,COU
ANC,CID
ANC,ISN
ANC,SJT
ANC,CMI
ANC,OTH
ANC,PUW
ANC,AVL
ANC,MSP
ANC,ORH
ANC,BTM
ANC,ACV
ANC,TPA
ANC,BIS
ANC,BOS
ANC,MDT
ANC,ABR
ANC,LAW
ANC,SAV
ANC,ABE
ANC,LBB
ANC,FAR
ANC,PLN
ANC,MOB
ANC,ONT
ANC,ICT
ANC,AGS
ANC,BUF
ANC,KTN
ANC,JAN
ANC,OKC
ANC,GNV
ANC,HPN
ANC,DAB
ANC,MSO
ANC,BTV
ANC,GGG
ANC,BNA
ANC,ECP
ANC,RDU
ANC,RNO
ANC,ROA
ANC,JLN
ANC,EAU
ANC,LEX
ANC,PSP
ANC,RIC
ANC,SMF
ANC,DTW
ANC,GTR
ANC,EWN
ANC,FLO
ANC,CHS
ANC,DEN
ANC,DLG
ANC,TUS
ANC,SPS
ANC,HOU
ANC,DFW
ANC,LYH
ANC,HIB
ANC,GTF
ANC,ABI
ANC,LAN
ANC,BRO
ANC,PGV
ANC,JFK
ANC,RSW
ANC,PHX
ANC,BPT
ANC,HSV
ANC,CRW
ANC,FAT
ANC,MYR
ANC,PSG
ANC,ROW
ANC,SGF
ANC,BGR
ANC,AUS
ANC,PBI
ANC,CHO
ANC,SBP
ANC,JAC
ANC,TRI
ANC,SBA
ANC,MHT
ANC,FAI
ANC,PBG
ANC,DAY
ANC,SCC
ANC,LAS
ANC,HOM
ANC,TYR
ANC,BIL
ANC,EKO
ANC,BRD
ANC,EVV
ANC,HTS
ANC,COS
ANC,FSM
ANC,LCH
ANC,BFL
ANC,CAK
ANC,LIT
ANC,BJI
ANC,CIU
ANC,IAH
ANC,IMT
ANC,SJC
ANC,MRY
ANC,XNA
ANC,BGM
ANC,GPT
ANC,BQK
ANC,PHL
ANC,LGA
ANC,CLT
ANC,SHV
ANC,LSE
ANC,ATW
