LOCID,Airport Name,City,State,NPIAS Hub Designation,CBSA Code,FIPS Code,Node ID,Destinations
LHD,Lake Hood,Anchorage,AK,N,11260,02020,52,
MRI,Merrill Field,Anchorage,AK,N,11260,02020,52,
ANC,Ted Stevens Anchorage International,Anchorage,AK,M,11260,02020,52,ELP|LAS|MEM|BIS|BIL|MDT|SAF|PSP|CRP|CRW|HIB|HLN|ISP|ROW|HRL|PGV|BPT|CHO|JLN|AZO|CHS|MAF|OAJ|IAD|WRG|BTR|GRB|KTN|EUG|GTR|MSO|VLD|RKS|BRW|GUC|LCH|TUS|IPT|LYH|ORH|GSP|TYR|MFR|CAK|CSG|COU|GPT|FAT|LEX|BFL|EYW|LRD|STS|SFO|FSM|ART|AVP|DAY|ISN|VPS|CDV|CID|BUR|LNK|RST|RIC|SBA|DSM|CHA|HOB|TXK|DUT|AUS|GEG|ABQ|MOT|PIH|XNA|ICT|BRO|OMA|JAX|ABI|BGR|SAN|ERI|ITO|TLH|OTH|ONT|DFW|BET|BJI|MKE|APN|SMF|MCI|JNU|PNS|ACV|OME|EVV|GRI|SBN|SJC|PVD|BTM|LIH|SDF|FSD|HOU|SUN|ECP|DAB|SEA|EAU|RAP|BZN|RDD|SYR|RSW|TUL|TWF|STL|BWI|YKM|ATL|ADQ|FWA|BUF|MSY|RHI|ABR|SHV|CPR|LGB|MRY|SCC|IAH|DHN|CMI|LBB|PHL|AMA|GJT|AVL|ALB|BMI|CAE|PBI|PIT|MHK|CLL|HNL|PSC|RDM|BDL|FLG|FLL|PQI|FAY|PLN|GRR|PDX|DAL|GSO|SBY|MSP|ABE|BOI|OKC|RDU|ENA|AGS|TPA|DLG|ITH|GNV|BOS|EGE|MYR|ORD|FNT|BTV|LAW|EAT|MLB|CIU|GTF|CWA|DTW|BRD|MGM|PHX|IND|COS|SIT|BHM|SNA|SPI|PHF|AEX|FAR|LAX|PUW|ROA|MDW|ESC|JAN|LSE|PSG|HDN|ROC|BQK|ELM|OTZ|ABY|INL|CLE|DEN|MHT|IMT|TRI|CDC|ASE|LIT|SJT|SAV|YAK|CMX|FAI|MFE|ALW|SWF|HSV|PAH|SBP|MTJ|DRO|MSN|RNO|BNA|MIA|SLC|ORF|EWN|MCO|EWR|MLU|LAN|CLT|JFK|TYS|ILM|SRQ|TVC|CMH|ATW|GRK|HPN|JAC|LFT|MOB|OGG|PIA|MBS|DLH|GCC|SAT|EKO|SGF|GFK|LGA|GCK|COD|PBG|PWM|VDZ|CVG|KOA|MLI|ACT|SPS|AKN|OAK|IDA|BGM|HTS|GGG|DCA|BLI|FLO|HOM
ANI,Aniak,Aniak,AK,N,,02050,53,DEN
BRW,Wiley Post-Will Rogers Memorial,Barrow,AK,N,,02185,69,CLE|DEN|ELP|LAS|SAN|BIL|HNL|ONT|PSC|DFW|RDM|BET|FAI|FLL|PDX|SMF|IAD|MSP|MCI|RDU|JNU|KTN|EUG|ENA|MSO|RNO|DLG|TPA|BNA|BOS|ORD|MCO|EWR|CLT|JFK|SEA|FAT|STS|BZN|CMH|SFO|PHX|STL|OGG|BWI|SAT|ROC|ADQ|ATL|BHM|SNA|BUR|ANC|LAX|SBA|CVG|KOA|AKN|GEG|SCC|ABQ|IAH|XNA|OMA|DCA|BLI|HOM
BET,Bethel,Bethel,AK,N,,02050,53,LAS|BIL|PSP|WRG|IAD|GRB|MSO|KTN|EUG|BRW|TUS|GSP|MFR|SFO|CDV|CID|AUS|GEG|ABQ|MOT|OMA|SAN|ONT|DFW|SMF|MCI|JNU|EVV|SJC|SYR|SEA|BZN|STL|BWI|YKM|ATL|ADQ|MSY|IAH|PHL|PIT|HNL|FLL|PDX|DAL|MSP|BOI|OKC|RDU|ENA|TPA|ORD|BOS|EAT|DTW|PHX|IND|COS|SIT|ANC|LAX|PUW|OTZ|CLE|DEN|LIT|YAK|FAI|ALW|MSN|RNO|BNA|MIA|SLC|MCO|EWR|CLT|JFK|TYS|CMH|LFT|MOB|OGG|SAT|LGA|PWM|OAK|DCA|BLI|HOM
CDV,Merle K (Mudhole) Smith,Cordova,AK,N,,02063,55,MEM|LAS|BIL|PSP|CHS|IAD|MSO|KTN|EUG|TUS|MFR|FAT|SFO|RIC|DUT|AUS|GEG|XNA|ICT|SAN|ONT|DFW|BET|SMF|MCI|JNU|SJC|FSD|SEA|BZN|BWI|YKM|ADQ|ATL|IAH|DHN|PIT|HNL|RDM|FLL|PDX|DAL|MSP|BOI|OKC|RDU|ENA|DLG|ORD|BOS|FNT|EAT|GTF|DTW|PHX|SIT|SNA|ANC|LAX|PSG|DEN|ASE|YAK|FAI|RNO|BNA|SLC|MCO|EWR|CLT|JFK|CMH|SAT|DLH|MLI|AKN|OAK|DCA|BLI|HOM
SCC,Deadhorse,Deadhorse,AK,N,,02185,69,PHL|CRP|DFW|DHN|FAI|RDM|PDX|SMF|MSP|BOI|JNU|KTN|MSO|ENA|OME|BRW|RNO|TPA|ORD|SLC|FSD|MFR|CLT|SEA|TUL|PHX|LFT|SAT|COS|ANC|FAR|MSY|LAX|PUW|GEG|IAH|DCA|BLI
DLG,Dillingham,Dillingham,AK,N,,02070,58,DEN|LAS|ALB|CAE|SAN|HNL|ONT|PSC|DFW|HLN|FAI|RDM|ALW|PDX|SMF|CHS|OTZ|SBP|MSP|BOI|OKC|JNU|KTN|EUG|ENA|MSO|RDU|BRW|MSN|RNO|PVD|SJC|TPA|BNA|BOS|GNV|LIH|ORD|SLC|SUN|MFR|CLT|JFK|SEA|FAT|TYS|BZN|GTF|DTW|SFO|ATW|PHX|OGG|BWI|YKM|ATL|SIT|CDV|ANC|MSY|LAX|PUW|TUS|MLI|OAK|GEG|PSG|ABQ|OMA|DCA|BLI|JAX|HOM
FAI,Fairbanks International,Fairbanks,AK,S,21820,02090,59,ELP|LAS|MEM|BIS|BIL|MDT|PSP|CRP|CRW|HIB|HLN|HRL|CHO|JLN|AZO|CHS|MAF|OAJ|IAD|WRG|BTR|GRB|KTN|EUG|MSO|BRW|TUS|LCH|GSP|TYR|MFR|CAK|CSG|GPT|LEX|FAT|STS|BFL|EYW|SFO|FSM|ART|AVP|DAY|LWS|ISN|VPS|CDV|CID|BUR|LNK|RST|RIC|SBA|DSM|CHA|TXK|DUT|AUS|GEG|ABQ|MOT|PIH|XNA|ICT|OMA|JAX|ABI|BGR|SAN|ERI|ITO|TLH|ONT|DFW|BET|BJI|MKE|SMF|MCI|JNU|PNS|ACV|OME|EVV|SBN|SJC|PVD|BTM|LIH|SDF|FSD|HOU|SUN|ECP|DAB|SEA|RAP|RDD|BZN|SYR|TUL|RSW|TWF|STL|BWI|YKM|ATL|ADQ|FWA|BUF|MSY|RHI|ABR|SHV|CPR|MRY|SCC|IAH|DHN|CMI|LBB|PHL|AMA|GJT|AVL|ALB|CAE|PBI|PIT|MHK|HNL|PSC|RDM|BDL|FLG|FLL|FAY|PLN|GRR|PDX|DAL|GSO|SBY|MSP|ABE|BOI|OKC|RDU|ENA|AGS|TPA|DLG|GNV|BOS|EGE|MYR|ORD|FNT|BTV|LAW|EAT|MLB|CIU|GTF|CWA|DTW|PHX|MGM|IND|COS|SIT|BHM|SNA|PHF|AEX|ANC|FAR|LAX|PUW|ROA|MDW|JAN|LSE|PSG|ROC|ELM|OTZ|CLE|DEN|MHT|IMT|TRI|CDC|ASE|LIT|SJT|SAV|YAK|MFE|ALW|HSV|PAH|SBP|MTJ|DRO|MSN|RNO|BNA|MIA|SLC|ORF|EWN|MCO|EWR|MLU|LAN|CLT|JFK|TYS|ILM|SRQ|TVC|CMH|ATW|GRK|HPN|JAC|MOB|OGG|PIA|SAT|MBS|DLH|SGF|EKO|GFK|LGA|VDZ|COD|PWM|CVG|KOA|MLI|SPS|AKN|OAK|IDA|BGM|GGG|DCA|BLI|HOM
