CBSA Code,Node ID,Name,MSA Designation,Airports,FIPS Codes
10100,1707,Aberdeen_SD,Micro,ABR,46013|46045
10140,2103,Aberdeen_WA,Micro,,53027
10180,1836,Abilene_TX,Metro,ABI,48441|48253|48059
10220,1589,Ada_OK,Micro,,40123
10300,916,Adrian_MI,Micro,,26091
10420,1523,Akron_OH,Metro,CAK,39133|39153
10460,1323,Alamogordo_NM,Micro,,35035
10500,335,Albany_GA,Metro,ABY,13321|13177|13273|13095
10540,1620,Albany-Lebanon_OR,Metro,,41043
10580,1333,Albany-Schenectady-Troy_NY,Metro,ALB,36093|36095|36083|36091|36001
10620,1421,Albemarle_NC,Micro,,37167
10660,963,Albert Lea_MN,Micro,,27047
10700,38,Albertville_AL,Micro,,01095
10740,1304,Albuquerque_NM,Metro,ABQ,35001|35057|35043|35061
10760,17,Alexander City_AL,Micro,,01037|01123
10780,827,Alexandria_LA,Metro,AEX,22043|22079
10820,961,Alexandria_MN,Micro,,27041
10860,1865,Alice_TX,Micro,,48131|48249
10900,1303,Allentown-Bethlehem-Easton_PA-NJ,Metro,ABE,34041|42077|42095|42025
10940,904,Alma_MI,Micro,,26057
10980,882,Alpena_MI,Micro,APN,26007
11020,1633,Altoona_PA,Metro,,42013
11060,1568,Altus_OK,Micro,,40065
11100,1818,Amarillo_TX,Metro,AMA,48011|48065|48375|48381|48359
11140,371,Americus_GA,Micro,,13261|13249
11180,570,Ames_IA,Metro,,19015|19169
11220,1358,Amsterdam_NY,Micro,,36057
11260,52,Anchorage_AK,Metro,MRI|ANC|LHD,02170|02020
11380,1814,Andrews_TX,Micro,,48003
11420,556,Angola_IN,Micro,,18151
11460,944,Ann Arbor_MI,Metro,,26161
11500,7,Anniston-Oxford_AL,Metro,,01015
11540,2164,Appleton_WI,Metro,ATW,55015|55087
11580,270,Arcadia_FL,Micro,,12027
11620,1548,Ardmore_OK,Micro,,40019|40085
11660,102,Arkadelphia_AR,Micro,,05019
11700,1379,Asheville_NC,Metro,AVL,37115|37089|37021|37087
11740,1480,Ashland_OH,Micro,,39005
11780,1481,Ashtabula_OH,Micro,,39007
11820,1603,Astoria_OR,Micro,,41007
11860,647,Atchison_KS,Micro,,20005
11900,1482,Athens_OH,Micro,,39009
11940,1797,Athens_TN,Micro,,47107
11980,1899,Athens_TX,Micro,,48213
12020,326,Athens-Clarke County_GA,Metro,,13059|13195|13219|13221
12060,310,Atlanta-Sandy Springs-Alpharetta_GA,Metro,ATL,13015|13067|13149|13057|13199|13297|13085|13077|13217|13045|13171|13089|13117|13121|13211|13159|13013|13113|13231|13255|13063|13035|13135|13151|13143|13247|13223|13097|13227
12100,1298,Atlantic City-Hammonton_NJ,Metro,ACY,34001
12120,24,Atmore_AL,Micro,,01053
12140,517,Auburn_IN,Micro,,18033
12180,1337,Auburn_NY,Micro,,36011
12220,33,Auburn-Opelika_AL,Metro,,01081
12260,319,Augusta-Richmond County_GA-SC,Metro,AGS,45003|13181|13245|13033|45037|13189|13073
12300,854,Augusta-Waterville_ME,Micro,,23011
12380,984,Austin_MN,Micro,,27099
12420,1822,Austin-Round Rock-Georgetown_TX,Metro,AUS,48453|48055|48021|48209|48491
12460,332,Bainbridge_GA,Micro,,13087
12540,163,Bakersfield_CA,Metro,BFL,06029
12580,864,Baltimore-Columbia-Towson_MD,Metro,BWI,24003|24005|24025|24510|24027|24013|24035
12620,858,Bangor_ME,Metro,BGR,23019
12660,2197,Baraboo_WI,Micro,,55111
12680,791,Bardstown_KY,Micro,,21179
12700,872,Barnstable Town_MA,Metro,PVC|HYA,25001
12740,2036,Barre_VT,Micro,,50023
12780,1597,Bartlesville_OK,Micro,,40147
12860,1350,Batavia_NY,Micro,,36037
12900,122,Batesville_AR,Micro,,05135|05063
12940,814,Baton Rouge_LA,Metro,BTR,22033|22077|22063|22047|22037|22007|22125|22091|22005|22121
12980,891,Battle Creek_MI,Metro,,26025
13020,887,Bay City_MI,Metro,,26017
13060,1939,Bay City_TX,Micro,,48321
13100,1230,Beatrice_NE,Micro,,31067
13140,1895,Beaumont-Port Arthur_TX,Metro,BPT,48199|48361|48245
13180,2169,Beaver Dam_WI,Micro,,55027
13220,2130,Beckley_WV,Metro,,54081|54019
13260,538,Bedford_IN,Micro,,18093
13300,1824,Beeville_TX,Micro,,48025
13340,1512,Bellefontaine_OH,Micro,,39091
13380,2122,Bellingham_WA,Metro,BLI,53073
13420,948,Bemidji_MN,Micro,BJI,27007
13460,1607,Bend_OR,Metro,RDM,41017
13500,1695,Bennettsville_SC,Micro,,45069
13540,2029,Bennington_VT,Micro,,50003
13620,1294,Berlin_NH,Micro,,33007
13660,922,Big Rapids_MI,Micro,,26107
13700,1906,Big Spring_TX,Micro,,48227
13720,2087,Big Stone Gap_VA,Micro,,51195|51720
13740,1152,Billings_MT,Metro,BIL,30111|30009|30095
13780,1335,Binghamton_NY,Metro,BGM,36007|36107
13820,4,Birmingham-Hoover_AL,Metro,BHM,01115|01021|01117|01073|01009|01007
13900,1440,Bismarck_ND,Metro,BIS,38059|38015|38065
13940,404,Blackfoot_ID,Micro,,16011
13980,2058,Blacksburg-Christiansburg_VA,Metro,,51121|51750|51155|51071
14010,475,Bloomington_IL,Metro,BMI,17113
14020,542,Bloomington_IN,Metro,,18119|18105
14100,1641,Bloomsburg-Berwick_PA,Metro,,42093|42037
14140,2045,Bluefield_WV-VA,Micro,,51021|54055|51185
14160,561,Bluffton_IN,Micro,,18179
14180,132,Blytheville_AR,Micro,,05093
14220,845,Bogalusa_LA,Micro,,22117
14260,399,Boise City_ID,Metro,BOI,16045|16015|16073|16027|16001
14300,1872,Bonham_TX,Micro,,48147
14380,1428,Boone_NC,Micro,,37189
14420,1907,Borger_TX,Micro,,48233
14460,876,Boston-Cambridge-Newton_MA-NH,Metro,BOS|PSM,33017|25023|25025|25021|33015|25009|25017
14500,202,Boulder_CO,Metro,,08013
14540,735,Bowling Green_KY,Metro,,21031|21003|21061|21227
14580,1163,Bozeman_MT,Micro,BZN,30031
14620,1659,Bradford_PA,Micro,,42083
14660,954,Brainerd_MN,Micro,BRD,27035|27021
14700,1141,Branson_MO,Micro,,29213
14720,245,Breckenridge_CO,Micro,,08117
14740,2107,Bremerton-Silverdale-Port Orchard_WA,Metro,,53035
14780,1994,Brenham_TX,Micro,,48477
14820,1423,Brevard_NC,Micro,,37175
14860,249,Bridgeport-Stamford-Norwalk_CT,Metro,,09001
15020,1041,Brookhaven_MS,Micro,,28085
15060,1606,Brookings_OR,Micro,,41015
15100,1706,Brookings_SD,Micro,,46011
15140,1784,Brownsville_TN,Micro,,47075
15180,1837,Brownsville-Harlingen_TX,Metro,HRL|BRO,48061
15220,1833,Brownwood_TX,Micro,,48049
15260,315,Brunswick_GA,Metro,BQK,13191|13127|13025
15340,1491,Bucyrus-Galion_OH,Micro,,39033
15380,1346,Buffalo-Cheektowaga_NY,Metro,IAG|BUF,36029|36063
15420,410,Burley_ID,Micro,,16031|16067
15460,461,Burlington_IA-IL,Micro,,17071|19057
15500,1369,Burlington_NC,Metro,,37001
15540,2031,Burlington-South Burlington_VT,Metro,BTV,50011|50007|50013
15580,1193,Butte-Silver Bow_MT,Micro,BTM,30093
15620,925,Cadillac_MI,Micro,,26113|26165
15660,345,Calhoun_GA,Micro,,13129
15680,869,California-Lexington Park_MD,Metro,,24037
15700,866,Cambridge_MD,Micro,,24019
15740,1501,Cambridge_OH,Micro,,39059
15780,99,Camden_AR,Micro,,05013|05103
15820,764,Campbellsville_KY,Micro,,21087|21217
15860,213,Cañon City_CO,Micro,,08043
15940,1485,Canton-Massillon_OH,Metro,,39019|39151
15980,288,Cape Coral-Fort Myers_FL,Metro,RSW,12071
