FIPS Code,Node ID,Name,State,CBSA Code,Airports,Adjacent FIPS Codes,Adjacent Node IDs
01001,1,Autauga County,AL,33860,,01047|01021,4|22
01003,2,Baldwin County,AL,19300,,01025|01129|01097|01099|01053|12033,24|39|11|40|272
01005,3,Barbour County,AL,21640,,01067|01113|01011|13061|13259|01045|01109,21|327|28|44|42|5
01007,4,Bibb County,AL,13820,,01105|01065|01125,29|41
01009,4,Blount County,AL,13820,,01055|01127|01095|01043,38|25|47|20
01011,5,Bullock County,AL,,,01101|01113|01109|01087|01005,1|35|44|3|42
01013,6,Butler County,AL,,,01035|01131|01039|01041|01085|01099,1|18|16|19|48|40
01015,7,Calhoun County,AL,11500,,01115|01019|01055|01121|01029,13|46|9|4|25
01017,8,Chambers County,AL,29300,,01111|01123|13145|01081,44|17|33|43
01019,9,Cherokee County,AL,,,13055|13233|13115|01015|01055|01029|01049,7|341|366|13|325|25|23
01021,4,Chilton County,AL,13820,,01047|01105|01051|01037|01001,17|1|22|41
01023,10,Choctaw County,AL,,,01025|01119|01129|28023|28153|28075|01091,1065|39|1022|36|11|45
01025,11,Clarke County,AL,,,01129|01131|01003|01023|01099|01091,39|36|2|10|48|40
01027,12,Clay County,AL,,,01111|01123|01037|01121|01029,17|13|43|46
01029,13,Cleburne County,AL,,,13233|13143|01019|01111|13045|01027|01015|01121,12|7|310|366|46|9|43
01031,14,Coffee County,AL,21460,,01039|01041|01061|01045|01109,21|18|28|19|42
01033,15,Colbert County,AL,22520,,01079|28141|01059,27|1060|32
01035,16,Conecuh County,AL,,,01013|01099|01039|01053,40|6|18|24
01037,17,Coosa County,AL,10760,,01051|01027|01021|01121|01117,4|12|1|46
01039,18,Covington County,AL,,,01035|12131|01013|01031|01041|01061|01053|12091,295|24|16|28|19|14|6
01041,19,Crenshaw County,AL,,,01101|01013|01039|01031|01085|01109,1|18|14|6|42
01043,20,Cullman County,AL,18980,,01133|01079|01127|01009|01103|01095,47|38|4|49|32
01045,21,Dale County,AL,37120,,01067|01031|01069|01061|01109|01005,28|14|3|42
01047,22,Dallas County,AL,42820,,01131|01105|01085|01001|01021|01091,41|1|36|4|48
01049,23,DeKalb County,AL,22840,,13055|13295|13083|01019|01055|01071|01095,38|30|325|9|323|25
01051,1,Elmore County,AL,33860,,01123|01037|01087|01021,4|17|35
01053,24,Escambia County,AL,12120,,01035|12113|01003|01039|01099|12091|12033,295|18|16|2|40|272
01055,25,Etowah County,AL,23460,,01019|01009|01015|01115|01049|01095,7|38|9|4|23
01057,26,Fayette County,AL,,,01125|01107|01127|01075|01093,47|31|29|37
01059,27,Franklin County,AL,,,01033|28141|01133|01079|28057|01093,1034|15|37|1060|49|32
01061,28,Geneva County,AL,20020,,12063|12131|01039|12059|01031|01045,21|295|285|18|14|283
01063,29,Greene County,AL,46220,,01119|01091,36|45
01065,29,Hale County,AL,46220,,01007|01105|01091,4|36|41
01067,28,Henry County,AL,20020,,01045|13099|13061|01005,21|327|3|336
01069,28,Houston County,AL,20020,,01045|13099|12063|13253,21|336|285|373
01071,30,Jackson County,AL,42460,,13083|47051|01089|47115|01049|01095,38|1770|34|323|23
01073,4,Jefferson County,AL,13820,,01127|01125,47|29
01075,31,Lamar County,AL,,,01057|28087|28095|01107|01093,1042|29|1044|37|26
01077,15,Lauderdale County,AL,22520,,47099|28141|01079|47071|01083|47181|47055,1810|32|34|1060|1794|1782|1776
01079,32,Lawrence County,AL,19460,,01033|01059|01133|01083|01077|01043,27|34|15|20|49
01081,33,Lee County,AL,12220,,13145|01123|13215|01113|01087|01017,44|35|17|8
01083,34,Limestone County,AL,26620,,01079|01103|01077|47103|47055,15|1796|1776|32
01085,1,Lowndes County,AL,33860,,01131|01013|01041|01047,22|6|19|48
01087,35,Macon County,AL,,,01101|01123|01081|01011|01051|01113,1|44|17|33|5
01089,34,Madison County,AL,26620,,47051|01103|47103|01071|01095,38|1770|30|1796|32
01091,36,Marengo County,AL,,,01063|01025|01119|01047|01131|01105|01023|01065,29|41|22|11|10|48|45
01093,37,Marion County,AL,,,01057|28095|01133|01127|28057|01075|01059,1034|47|27|31|1044|26|49
01095,38,Marshall County,AL,10700,,01043|01089|01009|01103|01055|01049|01071,32|34|30|20|4|25|23
01097,39,Mobile County,AL,33660,,01003|28039|28041|28059,1031|1028|2|1029
01099,40,Monroe County,AL,,,01035|01025|01131|01003|01013|01053,24|16|2|48|11|6
